input_text,emoji
The scientist tried to <measure> the height of the tower.,📏📐
She tried to hold onto a fading <memory> from childhood.,🧠💭
He wanted to <capture> the perfect photograph.,📸🔒
His words were filled with <determination> that everyone felt.,💪😤
She tried to <focus> on her assignment.,🎯👁️
They hoped to find a clear <pattern> in the data.,📊🔍
I could not <predict> what would happen.,🔮➡️❓
He hoped to find a lasting <connection> with new people.,🔗🤝
You must <balance> your work and personal life.,⚖️
The project relied on a shared <vision> for the future.,👁️‍🗨️🔮
